"ward","crimes","year"
"1","8316","2002"
"2","14297","2002"
"3","13695","2002"
"4","7382","2002"
"5","8114","2002"
"6","9963","2002"
"7","8691","2002"
"8","8600","2002"
"9","8815","2002"
"10","5788","2002"
"11","5267","2002"
"12","4207","2002"
"13","4591","2002"
"14","4560","2002"
"15","9687","2002"
"16","10757","2002"
"17","10824","2002"
"18","5331","2002"
"19","3504","2002"
"20","11701","2002"
"21","10079","2002"
"22","3855","2002"
"23","5322","2002"
"24","12476","2002"
"25","4856","2002"
"26","7058","2002"
"27","13691","2002"
"28","13969","2002"
"29","7389","2002"
"30","5026","2002"
"31","5086","2002"
"32","6982","2002"
"33","3713","2002"
"34","9401","2002"
"35","5612","2002"
"36","3741","2002"
"37","9058","2002"
"38","4002","2002"
"39","3133","2002"
"40","3804","2002"
"41","3395","2002"
"42","12962","2002"
"43","4603","2002"
"44","4496","2002"
"45","3610","2002"
"46","5185","2002"
"47","4015","2002"
"48","3937","2002"
"49","5530","2002"
"50","3364","2002"
"1","10356","2003"
"2","20078","2003"
"3","18521","2003"
"4","9242","2003"
"5","10966","2003"
"6","14003","2003"
"7","11862","2003"
"8","12060","2003"
"9","11606","2003"
"10","8184","2003"
"11","6996","2003"
"12","5785","2003"
"13","5973","2003"
"14","6406","2003"
"15","13075","2003"
"16","14471","2003"
"17","14594","2003"
"18","7036","2003"
"19","4363","2003"
"20","16175","2003"
"21","13480","2003"
"22","5125","2003"
"23","6791","2003"
"24","16743","2003"
"25","6791","2003"
"26","9922","2003"
"27","17799","2003"
"28","20791","2003"
"29","10941","2003"
"30","7098","2003"
"31","7002","2003"
"32","8844","2003"
"33","4857","2003"
"34","12337","2003"
"35","7179","2003"
"36","5179","2003"
"37","12911","2003"
"38","5407","2003"
"39","4263","2003"
"40","4783","2003"
"41","4545","2003"
"42","16389","2003"
"43","5824","2003"
"44","5963","2003"
"45","4899","2003"
"46","6611","2003"
"47","5283","2003"
"48","4929","2003"
"49","6957","2003"
"50","4314","2003"
"1","9591","2004"
"2","19011","2004"
